route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
PurpleXP,1,Purple-OB-Short-2,,0,Purple-OB-SHORT,1,2
PurpleXP,1,Purple-OB-Short-3,,0,Purple-OB-SHORT,1,2
PurpleXP,1,Purple-OB-Short-4,,0,Purple-OB-SHORT,1,2
PurpleXP,1,Purple-OB-Long-5,,0,Purple-OB-FULL,1,2
PurpleXP,1,Purple-OB-Long-6,,0,Purple-OB-FULL,1,2
PurpleXP,1,Purple-IB-Short-1,,1,Purple-IB-1,1,2
PurpleXP,1,Purple-IB-Short-2,,1,Purple-IB-1,1,2
PurpleXP,1,Purple-IB-Short-3,,1,Purple-IB-1,1,2
PurpleXP,1,Purple-IB-Short-4,,1,Purple-IB-1,1,2
PurpleXP,1,Purple-IB-Long-5,,1,Purple-IB-LONG,1,2
PurpleXP,1,Purple-IB-Long-6,,1,Purple-IB-LONG,1,2
RobinsonW,1,Robinson-OB-1,,0,Robinson-OB-1,1,2
RobinsonW,1,Robinson-OB-2,,0,Robinson-OB-2,1,2
RobinsonW,1,Robinson-OB-3,,0,Robinson-OB-3,1,2
RobinsonW,1,Robinson-OB-4,,0,Robinson-OB-4,1,2
RobinsonW,1,Robinson-OB-5,,0,Robinson-OB-5,1,2
RobinsonW,1,Robinson-OB-6,,0,Robinson-OB-6,1,2
RobinsonW,1,Robinson-IB-1,,1,Robinson-IB-1,1,2
RobinsonW,1,Robinson-IB-2,,1,Robinson-IB-2,1,2
RobinsonW,1,Robinson-IB-3,,1,Robinson-IB-3,1,2
RobinsonW,1,Robinson-IB-4,,1,Robinson-IB-4,1,2
RobinsonW,1,Robinson-IB-5,,1,Robinson-IB-5,1,2
RobinsonW,1,Robinson-IB-6,,1,Robinson-IB-6,1,2
RobinsonSat,2,RobinsonSat-OB-Early-1,,0,RobinsonSat-OB-Early1,1,2
RobinsonSat,2,RobinsonSat-OB-Early-2,,0,RobinsonSat-OB-Early2,1,2
RobinsonSat,2,RobinsonSat-OB-PM-1,,0,RobinsonSat-OB-PM1,1,2
RobinsonSat,2,RobinsonSat-OB-PM-2,,0,RobinsonSat-OB-PM-2,1,2
RobinsonSat,2,RobinsonSat-OB-PM-3,,0,RobinsonSat-OB-PM-3,1,2
RobinsonSat,2,RobinsonSat-IB-Early-1,,1,RobinsonSat-IB-Early-1,1,2
RobinsonSat,2,RobinsonSat-IB-Early-2,,1,RobinsonSat-IB-Early-2,1,2
RobinsonSat,2,RobinsonSat-IB-PM-1,,1,RobinsonSat-IB-PM-1,1,2
